Retailer,Retailer ID,Invoice Date ,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,03-04-2020,Southeast,Florida,Orlando,Women's Apparel,103,218,2245,"1,257.00",Online
West Gear,1128299,26-12-2020,South,Louisiana,New Orleans,Women's Apparel,103,163,1679,806,Online
Sports Direct,1197831,18-02-2020,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,"3,150.00",Outlet
Sports Direct,1197831,28-03-2021,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,"3,881.00",Outlet
Sports Direct,1197831,16-02-2021,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,"3,206.00",Outlet
West Gear,1185732,15-09-2020,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,"2,494.00",In-store
Sports Direct,1185732,16-02-2020,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,9000,"3,150.00",Online
Sports Direct,1197831,23-07-2021,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,"2,700.00",Online
West Gear,1185732,26-10-2020,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,"2,700.00",In-store
Foot Locker,1185732,11-07-2020,Northeast,New York,New York,Men's Street Footwear,44,434,1910,993,Outlet
Foot Locker,1185732,13-01-2020,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,"2,975.00",In-store
West Gear,1185732,27-01-2020,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,"2,231.00",In-store
West Gear,1185732,01-09-2021,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,"2,975.00",In-store
Amazon,1185732,06-06-2021,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,"3,400.00",Online
Foot Locker,1185732,19-03-2021,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,"2,550.00",Online
Walmart,1185732,02-09-2020,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,"3,400.00",Online
Walmart,1197831,07-06-2020,South,Arkansas,Little Rock,Women's Apparel,20,425,8500,"3,400.00",Online
Walmart,1197831,18-02-2020,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,8500,"2,975.00",Online
Walmart,1185732,03-03-2020,Northeast,New York,New York,Men's Street Footwear,48,420,2016,"1,129.00",Outlet
Walmart,1185732,27-07-2020,Northeast,New York,New York,Men's Street Footwear,39,408,1591,875,Outlet
Walmart,1185732,29-09-2020,Northeast,New York,New York,Men's Street Footwear,46,403,1854,"1,038.00",Outlet
West Gear,1185732,01-02-2021,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,"2,800.00",In-store
West Gear,1185732,18-10-2020,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,"3,200.00",In-store
West Gear,1185732,03-10-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,"2,800.00",In-store
West Gear,1185732,18-11-2020,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,"2,800.00",In-store
Walmart,1185732,18-12-2020,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,"3,200.00",Online
Sports Direct,1197831,24-09-2021,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,"2,400.00",Online
Foot Locker,1185732,28-06-2020,Northeast,New York,New York,Men's Street Footwear,47,400,1880,978,Outlet
Foot Locker,1185732,15-09-2021,Northeast,New York,New York,Men's Street Footwear,40,390,1560,811,Outlet
